iter	RMSE
0	7.180098849
1	6.837934775
2	6.50685062
3	6.204634266
4	5.91482318
5	5.646127762
6	5.386202993
7	5.147642165
8	4.91209084
9	4.690038089
10	4.477467545
11	4.278510794
12	4.0862758
13	3.909237983
14	3.743020597
15	3.583757707
16	3.432484065
17	3.290934756
18	3.161103408
19	3.036447787
20	2.918286647
21	2.81172071
22	2.710065524
23	2.616368877
24	2.526594475
25	2.441725011
26	2.363869548
27	2.289855306
28	2.224142884
29	2.161527987
30	2.103538273
31	2.04992167
32	1.999424497
33	1.952253427
34	1.910376419
35	1.872830997
36	1.836519256
37	1.801078372
38	1.770314585
39	1.737376751
40	1.709039098
41	1.683368867
42	1.661575485
43	1.639055338
44	1.617533066
45	1.597294429
46	1.581198192
47	1.564488464
48	1.550994652
49	1.536355074
50	1.522253389
51	1.511098318
52	1.500641414
53	1.488649629
54	1.477801486
55	1.469975281
56	1.462266378
57	1.456640416
58	1.447710931
59	1.441520429
60	1.433491947
61	1.426076044
62	1.42070007
63	1.414472624
64	1.408333705
65	1.403487024
66	1.39761457
67	1.39249537
68	1.38725077
69	1.383507938
70	1.378918781
71	1.375010967
72	1.371023348
73	1.367686911
74	1.364751359
75	1.361594658
76	1.358800556
77	1.35695777
78	1.353398237
79	1.351302057
80	1.349149637
81	1.346040753
82	1.342874914
83	1.341088905
84	1.339365266
85	1.337880843
86	1.335879079
87	1.333508252
88	1.33153325
89	1.330042469
90	1.328301328
91	1.326354385
92	1.324309507
93	1.32208384
94	1.319773321
95	1.317655867
96	1.316906446
97	1.315899199
98	1.313644849
99	1.311938414
100	1.309504801
101	1.307477113
102	1.305178772
103	1.303759178
104	1.30240759
105	1.301484657
106	1.300122093
107	1.297823524
108	1.296738334
109	1.294441705
110	1.293115616
111	1.291021282
112	1.288250357
113	1.287151064
114	1.285864473
115	1.28403975
116	1.28277824
117	1.281822037
118	1.279909437
119	1.278672496
120	1.277445618
121	1.275785599
122	1.274759256
123	1.273984245
124	1.272776578
125	1.272047823
126	1.271066012
127	1.270508254
128	1.269823005
129	1.268118646
130	1.267414815
131	1.266113747
132	1.265467059
133	1.264535612
134	1.263444514
135	1.26175629
136	1.260065302
137	1.257741903
138	1.256532703
139	1.255942525
140	1.255516128
141	1.254906024
142	1.253951752
143	1.2534869
144	1.252636332
145	1.251226606
146	1.249736031
147	1.249220054
148	1.248410415
149	1.247108816
150	1.245538762
151	1.244526503
152	1.242454073
153	1.241060931
154	1.239736303
155	1.238572439
156	1.237296536
157	1.236522737
158	1.235763319
159	1.234485543
160	1.233679876
161	1.232395216
162	1.230388704
163	1.228771488
164	1.227801099
165	1.226063172
166	1.224647598
167	1.22377818
168	1.223139238
169	1.221677904
170	1.220022909
171	1.219058264
172	1.217748658
173	1.217117297
174	1.216063124
175	1.21474146
176	1.213450497
177	1.212274451
178	1.211328224
179	1.210177399
180	1.208810859
181	1.207632659
182	1.206568266
183	1.205442578
184	1.204711088
185	1.204124393
186	1.203658924
187	1.202254622
188	1.201030819
189	1.200158026
190	1.199535753
191	1.198489803
192	1.197150757
193	1.196169487
194	1.194911756
195	1.193734205
196	1.192629212
197	1.191955014
198	1.190905742
199	1.189789335
200	1.189397289
201	1.188421833
202	1.187612611
203	1.186314722
204	1.185546712
205	1.184640371
206	1.183630827
207	1.182636753
208	1.181686444
209	1.180854505
210	1.179981119
211	1.179157038
212	1.178125211
213	1.177660707
214	1.177040328
215	1.176313082
216	1.175598428
217	1.174599142
218	1.173631569
219	1.172968495
220	1.172165503
221	1.171164871
222	1.170134579
223	1.169367651
224	1.168384847
225	1.167319514
226	1.166481675
227	1.165836202
228	1.165102921
229	1.164455481
230	1.163574127
231	1.162675649
232	1.161670007
233	1.160656228
234	1.159744513
235	1.158987652
236	1.158203616
237	1.157417822
238	1.157036467
239	1.156015728
240	1.155161229
241	1.154358261
242	1.153616704
243	1.153073353
244	1.15230857
245	1.151734695
246	1.150962925
247	1.15022035
248	1.149720779
249	1.149276249
250	1.148332803
251	1.147793806
252	1.14703242
253	1.146153179
254	1.145405968
255	1.144931016
256	1.144158426
257	1.143582206
258	1.142804984
259	1.142064877
260	1.141332227
261	1.140382456
262	1.139636845
263	1.139232686
264	1.138604692
265	1.137748818
266	1.137351623
267	1.136498738
268	1.135683133
269	1.134993192
270	1.134351387
271	1.13348573
272	1.132828901
273	1.132230627
274	1.131316125
275	1.13090804
276	1.130227985
277	1.129832675
278	1.129527773
279	1.128942693
280	1.128248868
281	1.12763107
282	1.126859194
283	1.126374464
284	1.125617838
285	1.124969122
286	1.124200004
287	1.123309679
288	1.122569581
289	1.122132354
290	1.12133453
291	1.121078507
292	1.120231448
293	1.119423959
294	1.118709362
295	1.118357176
296	1.117496192
297	1.117098562
298	1.116328678
299	1.115812232
300	1.115108188
301	1.114512459
302	1.113904475
303	1.113441479
304	1.112879554
305	1.11224872
306	1.111562238
307	1.111283429
308	1.110812744
309	1.110509818
310	1.109746752
311	1.109042516
312	1.108331523
313	1.107764329
314	1.107198134
315	1.106746403
316	1.106119247
317	1.105191034
318	1.104765653
319	1.104174874
320	1.10362132
321	1.103311775
322	1.102950866
323	1.102544123
324	1.102299491
325	1.102034762
326	1.101690392
327	1.101252316
328	1.100612294
329	1.100084259
330	1.099298379
331	1.098641344
332	1.098345805
333	1.097833037
334	1.097658879
335	1.097032509
336	1.096636806
337	1.096031351
338	1.095691947
339	1.095150167
340	1.094608399
341	1.094117247
342	1.093965704
343	1.093392352
344	1.092518362
345	1.092061208
346	1.091501461
347	1.090871769
348	1.09036158
349	1.089826225
350	1.089275008
351	1.088645033
352	1.087906922
353	1.087596411
354	1.087330237
355	1.086655482
356	1.086125509
357	1.085373609
358	1.085091757
359	1.08449155
360	1.083777373
361	1.08329036
362	1.082761752
363	1.082257975
364	1.081530277
365	1.080902384
366	1.080507721
367	1.079898625
368	1.079468276
369	1.078915658
370	1.078467783
371	1.078207145
372	1.077619629
373	1.077084876
374	1.076724415
375	1.076227709
376	1.075597711
377	1.075245751
378	1.074933415
379	1.074461164
380	1.074053081
381	1.073573534
382	1.073276871
383	1.0724267
384	1.071973733
385	1.071540528
386	1.071216354
387	1.070689124
388	1.070379577
389	1.070064199
390	1.069531378
391	1.069079239
392	1.06879076
393	1.06829679
394	1.067713443
395	1.067498163
396	1.067160976
397	1.066713781
398	1.066247934
399	1.065806206
400	1.065361219
401	1.064983459
402	1.064602102
403	1.064208207
404	1.063795593
405	1.063237866
406	1.062884393
407	1.062509518
408	1.06201441
409	1.06173394
410	1.061320605
411	1.060825909
412	1.060580806
413	1.060127055
414	1.059698737
415	1.059562709
416	1.059029913
417	1.058370975
418	1.057800229
419	1.057443498
420	1.057091999
421	1.056938182
422	1.056457669
423	1.056193773
424	1.055836606
425	1.055468666
426	1.054826172
427	1.054252138
428	1.053605968
429	1.053018728
430	1.05282162
431	1.052275022
432	1.051983946
433	1.051543543
434	1.051009168
435	1.050718896
436	1.050458796
437	1.050165591
438	1.049595584
439	1.049135491
440	1.048901436
441	1.048523401
442	1.048170064
443	1.047675934
444	1.047244972
445	1.046836682
446	1.046484566
447	1.046204524
448	1.045555368
449	1.045136076
450	1.04446161
451	1.04414034
452	1.043880617
453	1.043428416
454	1.042982654
455	1.042373098
456	1.041926686
457	1.041597241
458	1.041443147
459	1.041035597
460	1.040659557
461	1.040155917
462	1.039816095
463	1.039478995
464	1.039225561
465	1.039024375
466	1.038695909
467	1.038016979
468	1.037649746
469	1.037050125
470	1.036469954
471	1.036317086
472	1.035953154
473	1.035577086
474	1.035290575
475	1.03493453
476	1.034536771
477	1.033890007
478	1.033465631
479	1.033163848
480	1.032789318
481	1.032545393
482	1.032192195
483	1.031991342
484	1.031634946
485	1.030927974
486	1.030679795
487	1.030310161
488	1.030185705
489	1.029708081
490	1.029410595
491	1.0290411
492	1.028664442
493	1.028517891
494	1.028121094
495	1.027544958
496	1.027385303
497	1.026808439
498	1.026429949
499	1.026011209
500	1.025643952
501	1.025304313
502	1.024982457
503	1.024666545
504	1.024339656
505	1.024062405
506	1.023946684
507	1.023605604
508	1.023422087
509	1.023042125
510	1.022699948
511	1.022115717
512	1.021697715
513	1.021447205
514	1.021178825
515	1.020709637
516	1.020496159
517	1.020258357
518	1.019988717
519	1.01965482
520	1.019164929
521	1.018787915
522	1.01845908
523	1.018272558
524	1.018033961
525	1.017590595
526	1.017268842
527	1.016887168
528	1.016347187
529	1.015861907
530	1.015584348
531	1.015208124
532	1.014781255
533	1.014637869
534	1.014271221
535	1.013947564
536	1.013688441
537	1.013422072
538	1.013147442
539	1.01288838
540	1.012477758
541	1.012247515
542	1.011715894
543	1.011338527
544	1.010987121
545	1.010722583
546	1.010251747
547	1.009911283
548	1.009290515
549	1.008983006
550	1.008895105
551	1.008717445
552	1.008365194
553	1.00829284
554	1.008072151
555	1.007996935
556	1.007779239
557	1.007259773
558	1.00683732
559	1.006540914
560	1.006184121
561	1.006073224
562	1.00576815
563	1.005624389
564	1.005404203
565	1.004964321
566	1.004634971
567	1.004174787
568	1.003596546
569	1.003445373
570	1.003356183
571	1.003040061
572	1.002774486
573	1.002495334
574	1.002305543
575	1.002037845
576	1.001898193
577	1.001672435
578	1.001496892
579	1.000983549
580	1.000631286
581	1.00047303
582	1.000223814
583	0.9999768143
584	0.9997412981
585	0.9994242851
586	0.9990128765
587	0.9986945656
588	0.9980481896
589	0.9978340802
590	0.9973492491
591	0.9969239064
592	0.9964652114
593	0.9959130038
594	0.9956794046
595	0.9952864089
596	0.9947259763
597	0.9943612432
598	0.9940872506
599	0.9938275418
600	0.9933370292
601	0.9930079973
602	0.9926436249
603	0.9923926845
604	0.9921155352
605	0.9918954243
606	0.9916648161
607	0.9914816204
608	0.991414816
609	0.9912261344
610	0.9908529223
611	0.9904708151
612	0.9902196255
613	0.9898825665
614	0.9895814039
615	0.9894509534
616	0.989280002
617	0.9890144116
618	0.9888364093
619	0.9883390476
620	0.9881050658
621	0.9876043288
622	0.9874377708
623	0.987180474
624	0.9869896751
625	0.9867987704
626	0.9865439689
627	0.9862243264
628	0.9859541295
629	0.9856244982
630	0.9855016682
631	0.9852763081
632	0.9849313376
633	0.9846820457
634	0.984392928
635	0.9839331034
636	0.9836098426
637	0.9831098757
638	0.9828282559
639	0.9824501568
640	0.9820704304
641	0.9818477954
642	0.9815014259
643	0.9813161635
644	0.9810848309
645	0.9808324757
646	0.9805738644
647	0.9804071875
648	0.9802070489
649	0.9798324994
650	0.9795713502
651	0.9794826386
652	0.979224184
653	0.9788082152
654	0.9785668172
655	0.9781815034
656	0.9779720985
657	0.9777412585
658	0.9775110111
659	0.9772400495
660	0.9769471142
661	0.9766981751
662	0.9764364095
663	0.976235174
664	0.9759598195
665	0.9757713274
666	0.9756242799
667	0.9754329571
668	0.9752601418
669	0.9750145893
670	0.9748959764
671	0.9746694268
672	0.9745326758
673	0.9743292961
674	0.9740568154
675	0.9736421646
676	0.9733944113
677	0.97320812
678	0.9729020524
679	0.9725211761
680	0.9723280044
681	0.9719111241
682	0.9715645925
683	0.9712222122
684	0.9711352048
685	0.9709382364
686	0.9704779128
687	0.9702157678
688	0.9698723732
689	0.9696664114
690	0.9694205503
691	0.9692643399
692	0.9690843693
693	0.9688805216
694	0.9686997974
695	0.9685552998
696	0.9682553545
697	0.9679168892
698	0.9675915794
699	0.9673065954
700	0.9670941559
701	0.9668282906
702	0.9667284855
