iter	Passed	Remaining
0	0	831
1	1	750
2	2	806
3	3	799
4	3	775
5	4	759
6	5	755
7	5	743
8	6	743
9	7	733
10	8	724
11	8	732
12	9	727
13	10	721
14	11	727
15	11	731
16	12	731
17	13	726
18	13	722
19	14	717
20	15	710
21	15	709
22	16	709
23	17	705
24	18	711
25	18	707
26	19	706
27	20	697
28	20	694
29	21	694
30	22	695
31	23	697
32	23	696
33	24	691
34	25	691
35	25	690
36	26	689
37	27	686
38	27	684
39	28	683
40	29	681
41	29	681
42	30	678
43	31	679
44	31	677
45	32	675
46	33	674
47	33	671
48	34	673
49	35	672
50	36	670
51	36	668
52	37	667
53	38	666
54	38	664
55	39	662
56	39	660
57	40	660
58	41	657
59	41	654
60	42	654
61	43	652
62	43	652
63	44	653
64	45	652
65	45	650
66	46	648
67	47	647
68	47	644
69	48	644
70	49	644
71	50	644
72	50	642
73	51	640
74	51	638
75	52	635
76	53	635
77	53	633
78	54	632
79	54	630
80	56	636
81	56	633
82	57	633
83	58	634
84	58	633
85	59	633
86	60	631
87	60	631
88	61	631
89	62	630
90	62	629
91	63	628
92	64	627
93	65	628
94	65	628
95	66	628
96	67	627
97	67	625
98	68	625
99	69	625
100	70	624
101	70	624
102	71	624
103	72	622
104	73	623
105	73	623
106	74	622
107	75	620
108	75	619
109	76	618
110	77	617
111	77	617
112	78	615
113	79	614
114	79	614
115	80	614
116	81	613
117	81	611
118	82	610
119	83	609
120	83	608
121	84	607
122	85	606
123	85	606
124	86	605
125	87	605
126	88	605
127	88	604
128	89	603
129	90	603
130	90	603
131	91	603
132	92	602
133	93	602
134	93	601
135	94	600
136	95	600
137	95	599
138	96	598
139	97	596
140	97	595
141	98	594
142	99	593
143	99	592
144	100	590
145	100	589
146	101	588
147	102	588
148	102	587
149	103	586
150	104	586
151	104	585
152	105	584
153	106	583
154	106	582
155	107	581
156	108	580
157	108	580
158	109	579
159	110	581
160	111	580
161	112	579
162	112	578
163	113	578
164	114	577
165	114	577
166	115	576
167	116	575
168	116	574
169	117	573
170	118	573
171	118	572
172	119	572
173	120	571
174	120	570
175	121	569
176	122	569
177	123	568
178	123	568
179	124	567
180	125	566
181	125	566
182	126	565
183	127	564
184	128	564
185	128	563
186	129	563
187	130	562
188	130	561
189	131	560
190	132	560
191	132	558
192	133	557
193	134	560
194	135	559
195	136	558
196	136	556
197	137	555
198	137	553
199	138	552
200	138	552
201	139	552
202	140	551
203	141	550
204	141	549
205	142	548
206	142	547
207	143	547
208	144	546
209	145	545
210	145	544
211	146	545
212	147	544
213	148	544
214	148	543
215	149	542
216	150	542
217	150	541
218	151	540
219	152	540
220	152	539
221	153	538
222	154	537
223	155	537
224	155	536
